Item Name,SKU,Brand,Spec,Cat_ID,Photo_1,Photo_2,Photo_3,Photo_4,Photo_5,Activate
โคมฉายLED 150W/WW F-Series bioB.   , คฉ-22150-WW,,,,,,,,,
โคมฉายLED 200W/DL F-Series bioB.   , คฉ-22200-DL,Biobulb,,2113,,,,,,
โคมฉายLED 200W/WW F-Series bioB.   , คฉ-22200-WW,,,,,,,,,
โคมผนังLED-15W/6000K ZOOMER        , คฉ-40015-DL,,,,,,,,,
โคมผนังLED-15W/3000K ZOOMER        , คฉ-40015-WW,,,,,,,,,
โคมฉาย LED 30W/3000K ROME          , คฉ-40030-R3,,,,,,,,,
โคมฉาย LED 30W/6500K ROME          , คฉ-40030-R6,,,,,,,,,
โคมฉาย LED 50W/3000K ROME          , คฉ-40050-R3,,,,,,,,,
โคมฉาย LED 50W/6500K ROME          , คฉ-40050-R6,,,,,,,,,
โคมฉายLED100W/3000K ROME           , คฉ-40100-R3,,,,,,,,,
โคมฉายLED100W/6500K ROME           , คฉ-40100-R6,,,,,,,,,
โคมฉาย LED 30W/6000K LONDON        , คฉ-41030-DL,,,,,,,,,
โคมฉาย LED 30W/3000K LONDON        , คฉ-41030-WW,,,,,,,,,
โคมฉาย LED 50W/6000K LONDON        , คฉ-41050-DL,,,,,,,,,
โคมฉาย LED 50W/3000K LONDON        , คฉ-41050-WW,,,,,,,,,
โคมเมทัล PARIS-M250/GL+หลอดBEC     , คฉ-42250-,BEC,,2113,,,,,,
โคมเมทัล PARIS-M400/GL+หลอดBEC     , คฉ-42400-,BEC,,2113,,,,,,
โคมฉาย FL-E100W/3000K OPPLE        , คฉ-81003-,,,,,,,,,
โคมฉาย FL-E100W/6000K OPPLE        , คฉ-81006-,Opple,,2113,,,,,,
โคมฉาย FL-E150W/5700K OPPLE        , คฉ-81500-,Opple,,2113,,,,,,
โคมฉาย FL-E200W/5700K OPPLE        , คฉ-82000-,Opple,,2113,,,,,,
โคมฉาย FL-E30W/3000K OPPLE         , คฉ-83030-,,,,,,,,,
โคมฉาย FL-E30W/6000K OPPLE         , คฉ-83060-,Opple,,2113,,,,,,
โคมฉาย FL-E50W/3000K OPPLE         , คฉ-85030-,,,,,,,,,
โคมฉาย FL-E50W/6000K OPPLE         , คฉ-85060-,Opple,,2113,,,,,,
โคมฉาย FL-E70W/3000K OPPLE         , คฉ-87030-,,,,,,,,,
โคมฉาย FL-E70W/6000K OPPLE         , คฉ-87060-,Opple,,2113,,,,,,
คอนเนคโทรศัพท์ 10P UL4311 Link     , คน-04311-,,,,,,,,,
เคเบิ้ลไทร์(ห่อดำ) 250-4B PLUs DUCT, คบ-01010-6ห,,,,,,,,,
"คุปปิ้งบาง (จีน) 1/2""              ", คป-00001-,No Brand,,1612,,,,,,
"คุปปิ้งบาง (จีน) 3/4""              ", คป-00002-,No Brand,,1612,,,,,,
รางBN010C+LED8W/765-PL             , คฟ-10010-08,,,,,,,,,
รางBN010c+LED16W/765-PL            , คฟ-10010-16,,,,,,,,,
